word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/77/lemma/@_entry,word/77/lemma/@_POS,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/80/lemma/@_entry,word/80/lemma/@_POS,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS
a)ll',ἀλλά,adverb,e)pani/wmen,ἐπάνειμι,verb,e)pi\,ἐπί,preposition,th\n,ὁ,article,nh=son,νῆσος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r(eu=ma,ῥεῦμα,noun,ga\r,γάρ,particle,dh\,δή,particle,u(polabo\n,ὑπολαμβάνω,verb,h(ma=s,ἐγώ,pronoun,oi(=a,οἷος,adjective,polla\,πολύς,adjective,peri\,περί,preposition,to\n,ὁ,article,*po/nton,Πόντος,proper,ei(lei=tai,εἱλέω,verb,pare/plagce,παραπλάζω,verb,tou=,ὁ,article,lo/gou,λόγος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)pani/wmen,ἐπάνειμι,verb,w)=,ὦ,interjection,ce/ne,ξένος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta\,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,a(/|smata,,,ta\,ὁ,article,e)n,ἐν,preposition,au)th=|,αὐτός,pronoun,toiau=ta,τοιοῦτος,adjective,kai\,καί,conjunction,h(,ὁ,article,fwnh\,φωνή,noun,de\,δέ,particle,h(\n,ὅς,pronoun,a(/|dousi,,,qei=a/,θεῖος,adjective,te,τε,particle,h)xei=,ἠχέω,verb,kai\,καί,conjunction,lampra/,λαμπρός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dih/kei,διήκω,verb,gou=n,γοῦν,particle,tosau/th,τοσοῦτος,adjective,e)s,εἰς,preposition,to\,ὁ,article,pe/lagos,πέλαγος,noun,w(s,ὡς,conjunction,fri/khn,φρίκη,noun,a)ni/stasqai,ἀνίστημι,verb,toi=s,ὁ,article,nau/tais,ναύτης,noun,u(po\,ὑπό,preposition,e)kplh/cews,ἔκπληξις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fasi\,φημί,verb,d',δέ,particle,oi(,ἕ,pronoun,prosormisa/menoi,προσορμίζομαι,verb,kai\,καί,conjunction,ktu/pou,κτύπος,noun,a)kou/ein,ἀκούω,verb,i(/ppwn,ἵππος,noun,kai\,καί,conjunction,h)/xou,ἀχεύω,verb,o(/plwn,ὅπλον,noun,kai\,καί,conjunction,boh=s,βοείη,noun,oi(=on,οἷος,adjective,e)n,ἐν,preposition,pole/mw|,πόλεμος,noun,a)nafqe/ggontai,ἀναφθέγγομαι,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ei),εἰ,conjunction,d',δέ,particle,o(rmisame/nwn,ὁρμίζω,verb,e)s,εἰς,preposition,ta\,ὁ,article,bo/reia,βόρειος,adjective,h)\,ἠέ,conjunction,ta\,ὁ,article,no/tia,νότιος,adjective,th=s,ὁ,article,nh=sou,,,me/lloi,μέλλω,verb,tis,τις,pronoun,a)/nemos,ἄνεμος,noun,e)nanti/os,ἐναντίος,adjective,tw=|,ὁ,article,o(/rmw|,ὅρμος,noun,pnei=n,πνέω,verb,khru/ttei,κηρύσσω,verb,o(,ὁ,article,*)axilleu\s,Ἀχιλλεύς,proper,kata\,κατά,preposition,pru/mnan,πρύμνα,adjective,tou=to,οὗτος,pronoun,kai\,καί,conjunction,keleu/ei,κελεύω,verb,meqormisame/nous,μεθορμίζω,verb,e)ksth=nai,ἐξίστημι,verb,tw=|,ὁ,article,a)ne/mw|,ἄνεμος,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polloi\,πολύς,adjective,de\,δέ,particle,kai\,καί,conjunction,tw=n,ὁ,article,e)kpleo/ntwn,ἐκπλέω,verb,tou=,ὁ,article,*po/ntou,Πόντος,proper,prosple/ousi/,προσπλέω,verb,te/,τε,particle,moi,ἐγώ,pronoun,kai\,καί,conjunction,a)pagge/llousi,ἀπαγγέλλω,verb,tau=ta,οὗτος,pronoun,kai\,καί,conjunction,nh\,νή,preposition,*di/',Δίη,proper,w(s,ὡς,conjunction,e)peida\n,ἐπειδάν,conjunction,proi/dwsi,προεῖδον,verb,th\n,ὁ,article,nh=son,νῆσος,noun,a(/te,ἅτε,adverb,e)n,ἐν,preposition,a)pei/rw|,ἄπειρος,adjective,pela/gei,πέλαγος,noun,e)mfero/menoi,ἐμφέρω,verb,periba/llousi/,περιβάλλω,verb,te,τε,particle,a)llh/lous,ἀλλήλων,pronoun,kai\,καί,conjunction,e)s,εἰς,preposition,da/krua,δάκρυον,noun,u(f',ὑπό,preposition,h(donh=s,ἡδονά,noun,e)/rxontai,ἔρχομαι,verb,katapleu/santes,καταπλέω,verb,de\,δέ,particle,kai\,καί,conjunction,th\n,ὁ,article,gh=n,γῆ,noun,a)spasa/menoi,ἀσπάζομαι,verb,badi/zousin,βαδίζω,verb,e)pi\,ἐπί,preposition,to\,ὁ,article,i(ero\n,ἱερόν,noun,proseuco/menoi/,προσεύχομαι,verb,te,τε,particle,tw=|,ὁ,article,*)axillei=,Ἀχιλλεύς,proper,kai\,καί,conjunction,qu/sontes,θύω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,de\,δέ,particle,i(erei=on,ἱερεῖον,noun,au)to/maton,αὐτόματος,adjective,tw=|,ὁ,article,bwmw=|,βωμός,noun,prose/sthke,προσίστημι,verb,kata\,κατά,preposition,th\n,ὁ,article,nau=n,ναῦς,noun,te,τε,particle,kai\,καί,conjunction,tou\s,ὁ,article,e)mple/ontas,ἐμπλέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to\,ὁ,article,me\n,μέν,particle,dh\,δή,particle,peri\,περί,preposition,th\n,ὁ,article,ka/lpin,κάλπις,noun,th\n,ὁ,article,xrush=n,χρύσεος,adjective,th\n,ὁ,article,e)n,ἐν,preposition,*xi/w|,Χίος,proper,pote\,ποτός,adjective,fanei=san,φαίνω,verb,th=|,ὁ,article,nh/sw|,νῆσος,noun,ei)/rhtai,ἔρομαι,verb,ce/ne,ξένος,noun,sofoi=s,σοφός,adjective,a)ndra/si,ἀνήρ,noun,kai\,καί,conjunction,ti/,τίς,pronoun,a)/n,ἄν,particle,tis,τις,pronoun,a)rizh/lws,ἀρίζηλος,adjective,ei)rhme/nwn,ἐρῶ,verb,au)=qis,αὖθις,adverb,a(/ptoito,ἅπτω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e)mpo/rw|,ἔμπορος,adjective,de\,δέ,particle,le/getai,λέγω,verb,qami/zonti/,θαμίζω,verb,pote,ποτέ,particle,e)s,εἰς,preposition,th\n,ὁ,article,nh=son,νῆσος,noun,fai/nesqai,φαίνω,verb,me\n,μέν,particle,o(,ὁ,article,*)axilleu\s,Ἀχιλλεύς,proper,au)to/s,αὐτός,pronoun,dihgei=sqai,διηγέομαι,verb,de\,δέ,particle,au)tw=|,αὐτός,pronoun,ta\,ὁ,article,e)n,ἐν,preposition,*troi/a|,Τροία,proper,ceni/sai,ξενίζω,verb,d',δέ,particle,au)to\n,αὐτός,pronoun,kai\,καί,conjunction,potw=|,ποτός,adjective,keleu=sai/,κέλλω,verb,te,τε,particle,e)kpleu/santa,ἐκπλέω,verb,e)s,εἰς,preposition,*)/ilion,Ἴλιον,proper,a)nagagei=n,ἀνάγω,verb,oi(,ὁ,article,ko/rhn,κόρη,noun,*trwa/da,,,th\n,ὁ,article,dei=na,δεῖνα,noun,ei)pw\n,εἶπον,verb,douleu/ousan,δουλεύω,verb,tw=|,ὁ,article,dei=ni,δεῖνα,noun,e)n,ἐν,preposition,*)ili/w|,Ἴλιον,proper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qauma/santos,θαυμάζω,verb,de\,δέ,particle,tou=,ὁ,article,ce/nou,ξένος,noun,to\n,ὁ,article,lo/gon,λόγος,noun,kai\,καί,conjunction,dia\,διά,preposition,to\,ὁ,article,qarrei=n,θαρσέω,verb,h)/dh,ἤδη,adverb,e)rome/nou,ἔρομαι,verb,au)to/n,αὐτός,pronoun,ti/,τίς,pronoun,de/oito,δέομαι,verb,dou/lhs,δούλη,noun,*)ilia/dos,Ἰλιάς,proper,o(/ti,ὅστις,pronoun,e)/fh,φημί,verb,ce/ne,ξένος,noun,ge/gonen,γίγνομαι,verb,o(/qen,ὅθεν,adverb,per,πέρ,particle,o(,ὁ,article,*(/ektwr,Ἕκτωρ,proper,kai\,καί,conjunction,oi(,ὁ,article,pro\,πρό,preposition,au)tou=,αὐτός,pronoun,a)/nw,ἄνω,adverb,loiph\,λοιπός,adjective,d',δέ,particle,e)sti\,εἰμί,verb,tou=,ὁ,article,*priamidw=n,Πριαμίδης,proper,te,τε,particle,kai\,καί,conjunction,*dardanidw=n,Δαρδανίδης,proper,ai(/matos,αἷμα,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o(,ὁ,article,me\n,μέν,particle,dh\,δή,particle,e)/mporos,ἔμπορος,adjective,e)ra=n,ἐράω,verb,to\n,ὁ,article,*)axille/a,Ἀχιλλεύς,proper,w)/|eto,οἴομαι,verb,kai\,καί,conjunction,pria/menos,πρίαμαι,verb,th\n,ὁ,article,ko/rhn,κόρη,noun,e)s,εἰς,preposition,th\n,ὁ,article,nh=son,νῆσος,noun,a)ne/pleusen,ἀναπλέω,verb,o(,ὁ,article,de\,δέ,particle,*)axilleu\s,Ἀχιλλεύς,proper,e)paine/sas,ἐπαινέω,verb,au)to\n,αὐτός,pronoun,h(/konta,ἥκω,verb,th\n,ὁ,article,me\n,μέν,particle,prose/tace,προστάσσω,verb,fula/ttein,φυλάσσω,verb,e(autw=|,ἑαυτοῦ,pronoun,e)n,ἐν,preposition,th=|,ὁ,article,nhi\,ναῦς,noun,di),διά,preposition,oi)=mai,οἴομαι,verb,to\,ὁ,article,mh\,μή,conjunction,e)sbato\n,εἰσβατός,adverb,ei)=nai,εἰμί,verb,gunaici\,γυνή,noun,th\n,ὁ,article,nh=son,νῆσος,noun,au(to\n,ἑαυτοῦ,pronoun,de\,δέ,particle,e(spe/ras,ἑσπέρα,noun,h(/kein,ἥκω,verb,e)s,εἰς,preposition,to\,ὁ,article,i(ero\n,ἱερόν,noun,kai\,καί,conjunction,eu)wxei=sqai,εὐωχέω,verb,met',μετά,preposition,au)tou=,αὐτός,pronoun,te,τε,particle,kai\,καί,conjunction,*(ele/nhs,Ἑλένη,proper,a)fikome/nw|,ἀφικνέομαι,verb,de\,δέ,particle,polla\,πολύς,adjective,me\n,μέν,particle,xrh/mata,χρῆμα,adjective,e)/dwken,δίδωμι,verb,w(=n,ὅς,pronoun,h(/ttous,ἥσσων,adverb,e)/mporoi,ἔμπορος,adjective,ce/non,ξένος,noun,d',δέ,particle,au)to\n,αὐτός,pronoun,poiei=sqai,ποιέω,verb,e)/fh,φημί,verb,dido/nai,δίδωμι,verb,te/,τε,particle,oi(,ἕ,pronoun,th\n,ὁ,article,e)mpori/an,ἐμπορία,noun,e)nergo\n,ἐνεργός,adjective,kai\,καί,conjunction,th\n,ὁ,article,nau=n,ναῦς,noun,eu)ploei=n,εὐπλοέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
