word/0/@_form,word/0/lemma/@_entry,word/0/lemma/@_POS,word/1/@_form,word/1/lemma/@_entry,word/1/lemma/@_POS,word/2/@_form,word/2/lemma/@_entry,word/2/lemma/@_POS,word/3/@_form,word/3/lemma/@_entry,word/3/lemma/@_POS,word/4/@_form,word/4/lemma/@_entry,word/4/lemma/@_POS,word/5/@_form,word/5/lemma/@_entry,word/5/lemma/@_POS,word/6/@_form,word/6/lemma/@_entry,word/6/lemma/@_POS,word/7/@_form,word/7/lemma/@_entry,word/7/lemma/@_POS,word/8/@_form,word/8/lemma/@_entry,word/8/lemma/@_POS,word/9/@_form,word/9/lemma/@_entry,word/9/lemma/@_POS,word/10/@_form,word/10/lemma/@_entry,word/10/lemma/@_POS,word/11/@_form,word/11/lemma/@_entry,word/11/lemma/@_POS,word/12/@_form,word/12/lemma/@_entry,word/12/lemma/@_POS,word/13/@_form,word/13/lemma/@_entry,word/13/lemma/@_POS,word/14/@_form,word/14/lemma/@_entry,word/14/lemma/@_POS,word/15/@_form,word/15/lemma/@_entry,word/15/lemma/@_POS,word/16/@_form,word/16/lemma/@_entry,word/16/lemma/@_POS,word/17/@_form,word/17/lemma/@_entry,word/17/lemma/@_POS,word/18/@_form,word/18/lemma/@_entry,word/18/lemma/@_POS,word/19/@_form,word/19/lemma/@_entry,word/19/lemma/@_POS,word/20/@_form,word/20/lemma/@_entry,word/20/lemma/@_POS,word/21/@_form,word/21/lemma/@_entry,word/21/lemma/@_POS,word/22/@_form,word/22/lemma/@_entry,word/22/lemma/@_POS,word/23/@_form,word/23/lemma/@_entry,word/23/lemma/@_POS,word/24/@_form,word/24/lemma/@_entry,word/24/lemma/@_POS,word/25/@_form,word/25/lemma/@_entry,word/25/lemma/@_POS,word/26/@_form,word/26/lemma/@_entry,word/26/lemma/@_POS,word/27/@_form,word/27/lemma/@_entry,word/27/lemma/@_POS,word/28/@_form,word/28/lemma/@_entry,word/28/lemma/@_POS,word/29/@_form,word/29/lemma/@_entry,word/29/lemma/@_POS,word/30/@_form,word/30/lemma/@_entry,word/30/lemma/@_POS,word/31/@_form,word/31/lemma/@_entry,word/31/lemma/@_POS,word/32/@_form,word/32/lemma/@_entry,word/32/lemma/@_POS,word/33/@_form,word/33/lemma/@_entry,word/33/lemma/@_POS,word/34/@_form,word/34/lemma/@_entry,word/34/lemma/@_POS,word/35/@_form,word/35/lemma/@_entry,word/35/lemma/@_POS,word/36/@_form,word/36/lemma/@_entry,word/36/lemma/@_POS,word/37/@_form,word/37/lemma/@_entry,word/37/lemma/@_POS,word/38/@_form,word/38/lemma/@_entry,word/38/lemma/@_POS,word/39/@_form,word/39/lemma/@_entry,word/39/lemma/@_POS,word/40/@_form,word/40/lemma/@_entry,word/40/lemma/@_POS,word/41/@_form,word/41/lemma/@_entry,word/41/lemma/@_POS,word/42/@_form,word/42/lemma/@_entry,word/42/lemma/@_POS,word/43/@_form,word/43/lemma/@_entry,word/43/lemma/@_POS,word/44/@_form,word/44/lemma/@_entry,word/44/lemma/@_POS,word/45/@_form,word/45/lemma/@_entry,word/45/lemma/@_POS,word/46/@_form,word/46/lemma/@_entry,word/46/lemma/@_POS,word/47/@_form,word/47/lemma/@_entry,word/47/lemma/@_POS,word/48/@_form,word/48/lemma/@_entry,word/48/lemma/@_POS,word/49/@_form,word/49/lemma/@_entry,word/49/lemma/@_POS,word/50/@_form,word/50/lemma/@_entry,word/50/lemma/@_POS,word/51/@_form,word/51/lemma/@_entry,word/51/lemma/@_POS,word/52/@_form,word/52/lemma/@_entry,word/52/lemma/@_POS,word/53/@_form,word/53/lemma/@_entry,word/53/lemma/@_POS,word/54/@_form,word/54/lemma/@_entry,word/54/lemma/@_POS,word/55/@_form,word/55/lemma/@_entry,word/55/lemma/@_POS,word/56/@_form,word/56/lemma/@_entry,word/56/lemma/@_POS,word/57/@_form,word/57/lemma/@_entry,word/57/lemma/@_POS,word/58/@_form,word/58/lemma/@_entry,word/58/lemma/@_POS,word/59/@_form,word/59/lemma/@_entry,word/59/lemma/@_POS,word/60/@_form,word/60/lemma/@_entry,word/60/lemma/@_POS,word/61/@_form,word/61/lemma/@_entry,word/61/lemma/@_POS,word/62/@_form,word/62/lemma/@_entry,word/62/lemma/@_POS,word/63/@_form,word/63/lemma/@_entry,word/63/lemma/@_POS,word/64/@_form,word/64/lemma/@_entry,word/64/lemma/@_POS,word/65/@_form,word/65/lemma/@_entry,word/65/lemma/@_POS,word/66/@_form,word/66/lemma/@_entry,word/66/lemma/@_POS,word/67/@_form,word/67/lemma/@_entry,word/67/lemma/@_POS,word/68/@_form,word/68/lemma/@_entry,word/68/lemma/@_POS,word/69/@_form,word/69/lemma/@_entry,word/69/lemma/@_POS,word/70/@_form,word/70/lemma/@_entry,word/70/lemma/@_POS,word/71/@_form,word/71/lemma/@_entry,word/71/lemma/@_POS,word/72/@_form,word/72/lemma/@_entry,word/72/lemma/@_POS,word/73/@_form,word/73/lemma/@_entry,word/73/lemma/@_POS,word/74/@_form,word/74/lemma/@_entry,word/74/lemma/@_POS,word/75/@_form,word/76/@_form,word/76/lemma/@_entry,word/76/lemma/@_POS,word/77/@_form,word/78/@_form,word/78/lemma/@_entry,word/78/lemma/@_POS,word/79/@_form,word/79/lemma/@_entry,word/79/lemma/@_POS,word/80/@_form,word/81/@_form,word/81/lemma/@_entry,word/81/lemma/@_POS,word/82/@_form,word/75/lemma/@_entry,word/75/lemma/@_POS,word/77/lemma/@_entry,word/77/lemma/@_POS,word/80/lemma/@_entry,word/80/lemma/@_POS,word/82/lemma/@_entry,word/82/lemma/@_POS,word/83/@_form,word/83/lemma/@_entry,word/83/lemma/@_POS,word/84/@_form,word/84/lemma/@_entry,word/84/lemma/@_POS,word/85/@_form,word/85/lemma/@_entry,word/85/lemma/@_POS,word/86/@_form,word/86/lemma/@_entry,word/86/lemma/@_POS,word/87/@_form,word/87/lemma/@_entry,word/87/lemma/@_POS,word/88/@_form,word/88/lemma/@_entry,word/88/lemma/@_POS,word/89/@_form,word/89/lemma/@_entry,word/89/lemma/@_POS,word/90/@_form,word/90/lemma/@_entry,word/90/lemma/@_POS,word/91/@_form,word/91/lemma/@_entry,word/91/lemma/@_POS,word/92/@_form,word/92/lemma/@_entry,word/92/lemma/@_POS,word/93/@_form,word/93/lemma/@_entry,word/93/lemma/@_POS,word/94/@_form,word/94/lemma/@_entry,word/94/lemma/@_POS,word/95/@_form,word/95/lemma/@_entry,word/95/lemma/@_POS,word/96/@_form,word/96/lemma/@_entry,word/96/lemma/@_POS,word/97/@_form,word/97/lemma/@_entry,word/97/lemma/@_POS,word/98/@_form,word/98/lemma/@_entry,word/98/lemma/@_POS,word/99/@_form,word/99/lemma/@_entry,word/99/lemma/@_POS,word/100/@_form,word/100/lemma/@_entry,word/100/lemma/@_POS,word/101/@_form,word/101/lemma/@_entry,word/101/lemma/@_POS,word/102/@_form,word/102/lemma/@_entry,word/102/lemma/@_POS,word/103/@_form,word/103/lemma/@_entry,word/103/lemma/@_POS,word/104/@_form,word/104/lemma/@_entry,word/104/lemma/@_POS,word/105/@_form,word/105/lemma/@_entry,word/105/lemma/@_POS,word/106/@_form,word/106/lemma/@_entry,word/106/lemma/@_POS,word/107/@_form,word/107/lemma/@_entry,word/107/lemma/@_POS,word/108/@_form,word/108/lemma/@_entry,word/108/lemma/@_POS,word/109/@_form,word/109/lemma/@_entry,word/109/lemma/@_POS,word/110/@_form,word/110/lemma/@_entry,word/110/lemma/@_POS,word/111/@_form,word/111/lemma/@_entry,word/111/lemma/@_POS,word/112/@_form,word/112/lemma/@_entry,word/112/lemma/@_POS,word/113/@_form,word/113/lemma/@_entry,word/113/lemma/@_POS,word/114/@_form,word/114/lemma/@_entry,word/114/lemma/@_POS,word/115/@_form,word/115/lemma/@_entry,word/115/lemma/@_POS,word/116/@_form,word/116/lemma/@_entry,word/116/lemma/@_POS,word/117/@_form,word/117/lemma/@_entry,word/117/lemma/@_POS,word/118/@_form,word/118/lemma/@_entry,word/118/lemma/@_POS,word/119/@_form,word/119/lemma/@_entry,word/119/lemma/@_POS,word/120/@_form,word/120/lemma/@_entry,word/120/lemma/@_POS,word/121/@_form,word/121/lemma/@_entry,word/121/lemma/@_POS,word/122/@_form,word/122/lemma/@_entry,word/122/lemma/@_POS,word/123/@_form,word/123/lemma/@_entry,word/123/lemma/@_POS,word/124/@_form,word/124/lemma/@_entry,word/124/lemma/@_POS,word/125/@_form,word/125/lemma/@_entry,word/125/lemma/@_POS,word/126/@_form,word/126/lemma/@_entry,word/126/lemma/@_POS,word/127/@_form,word/127/lemma/@_entry,word/127/lemma/@_POS,word/128/@_form,word/128/lemma/@_entry,word/128/lemma/@_POS,word/129/@_form,word/130/@_form,word/130/lemma/@_entry,word/130/lemma/@_POS,word/131/@_form,word/131/lemma/@_entry,word/131/lemma/@_POS,word/132/@_form,word/132/lemma/@_entry,word/132/lemma/@_POS,word/133/@_form,word/133/lemma/@_entry,word/133/lemma/@_POS,word/134/@_form,word/134/lemma/@_entry,word/134/lemma/@_POS,word/135/@_form,word/135/lemma/@_entry,word/135/lemma/@_POS,word/136/@_form,word/136/lemma/@_entry,word/136/lemma/@_POS,word/137/@_form,word/137/lemma/@_entry,word/137/lemma/@_POS,word/138/@_form,word/138/lemma/@_entry,word/138/lemma/@_POS,word/139/@_form,word/139/lemma/@_entry,word/139/lemma/@_POS,word/140/@_form,word/140/lemma/@_entry,word/140/lemma/@_POS,word/141/@_form,word/141/lemma/@_entry,word/141/lemma/@_POS,word/142/@_form,word/142/lemma/@_entry,word/142/lemma/@_POS
th=s,ὁ,article,me\n,μέν,particle,ga\r,γάρ,particle,prw/ths,πρότερος,adjective,e)pistrofh=s,ἐπιστροφεύς,noun,th=s,ὁ,article,kata\,κατά,preposition,to\,ὁ,article,bezh,,,e)pe/xei,ἐπιχέω,verb,to/pon,τόπος,noun,me\n,μέν,particle,to\n,ὁ,article,e)/mprosqen,ἔμπροσθεν,adverb,e)pifa/neian,ἐπιφάνεια,noun,de\,δέ,particle,th\n,ὁ,article,decia/n,δεξιά,noun,th=s,ὁ,article,d),δέ,particle,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,qe/sews,θέσις,noun,th=s,ὁ,article,abgd,,,ei)s,εἰς,preposition,tou)pi/sw,ἔπισος,adjective,ble/pei,βλέπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*)ekperispasmo\s,ἐκπερισπασμός,noun,de/,δέ,particle,e)stin,εἰμί,verb,o(/t),ὅστε,pronoun,a)\n,ἄν,particle,e)k,ἐκ,preposition,triw=n,τρεῖς,noun,e)pistrofw=n,ἐπιστροφή,noun,e)pi\,ἐπί,preposition,ta\,ὁ,article,au)ta\,αὐτός,pronoun,sunexw=n,συνεχής,adverb,kinh=tai,κινέω,verb,ta\,ὁ,article,sunta/gmata,σύνταγμα,noun,ei)s,εἰς,preposition,to\n,ὁ,article,o)/piqen,ὄπισθεν,adverb,to/pon,τόπος,noun,kai\,καί,conjunction,th\n,ὁ,article,ei)s,εἰς,preposition,laio\n,λαιός,noun,e)pifa/neian,ἐπιφάνεια,noun,kaqa/per,καθά,adverb,e)/xei,ἔχω,verb,to\,ὁ,article,bmnc,,,tou=,ὁ,article,me\n,μέν,particle,bqkl,,,ei)s,εἰς,preposition,tou)/mprosqen,ἔμπροσθεν,adverb,kata\,κατά,preposition,th\n,ὁ,article,decia\n,δεξιός,adjective,kei/menon,κεῖμαι,verb,e)pifa/neian,ἐπιφάνεια,noun,tou=,ὁ,article,de\,δέ,particle,kata\,κατά,preposition,th\n,ὁ,article,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,qe/sin,θέσις,noun,badg,,,ei)s,εἰς,preposition,tou)/pisqe/n,πιπίσκω,verb,te,τε,particle,metapeso\n,μεταπίπτω,verb,kai\,καί,conjunction,th\n,ὁ,article,a)ristera\n,ἀριστερός,adjective,ble/pon,βλέπω,verb,e)pifa/neian,ἐπιφάνεια,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*kai\,καί,conjunction,fanero/n,φανερός,adjective,o(/ti,ὅστις,pronoun,to\n,ὁ,article,e)kperispasmo\n,ἐκπερισπασμός,noun,ou),οὐ,adverb,kata\,κατά,preposition,a)nastrofh\n,ἀναστροφή,noun,a)pokaqista/nein,ἀποκαθιστάνω,verb,prosh/kei,προσήκω,verb,dehso/meqa,δέω,verb,ga\r,γάρ,particle,triw=n,τρεῖς,noun,a)nastrofw=n,ἀναστροφή,noun,i(/na,ἵνα,conjunction,a)pokatasth=|,ἀποκαθίστημι,verb,th=s,ὁ,article,te,τε,particle,e)pi\,ἐπί,preposition,to\,ὁ,article,bqkl,,,kai\,καί,conjunction,th=s,ὁ,article,e)pi\,ἐπί,preposition,to\,ὁ,article,bezh,,,kai\,καί,conjunction,e)/ti,ἔτι,adverb,th=s,ὁ,article,e)pi\,ἐπί,preposition,to\,ὁ,article,badg,,,a)lla\,ἀλλά,adverb,kat),κατά,preposition,e)pistrofh\n,ἐπιστροφή,noun,mi/an,εἷς,adjective,th\n,ὁ,article,e)pi\,ἐπί,preposition,to\,ὁ,article,do/ru,δόρυ,noun,di),διά,preposition,o(/ti,ὅστις,pronoun,to\,ὁ,article,badg,,,tou=,ὁ,article,bmnc,,,to/pon,τόπος,noun,me\n,μέν,particle,e)/xei,ἔχω,verb,to\n,ὁ,article,e)/mprosqen,ἔμπροσθεν,adverb,e)pifa/neian,ἐπιφάνεια,noun,de\,δέ,particle,th\n,ὁ,article,e)k,ἐκ,preposition,deciw=n,δεξιός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kalei=tai,καλέω,verb,de\,δέ,particle,h(,ὁ,article,kat),κατά,preposition,e)pistrofh\n,ἐπιστροφή,noun,ei)s,εἰς,preposition,to\,ὁ,article,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,a)pokata/stasis,ἀποκατάστασις,noun,e)pikata/stasis,ἐπικατάστασις,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*(h,ὁ,article,me\n,μέν,particle,ou)=n,οὖν,particle,prw/th,πρότερος,adjective,e)pistrofh\,ἐπιστροφή,noun,kai\,καί,conjunction,h(,ὁ,article,tri/th,τρίτος,adjective,kaloume/nh,καλέω,verb,e)kperispasmo\s,ἐκπερισπασμός,noun,monaxw=s,μοναχός,adjective,a)pokaqi/stantai,ἀποκαθίστημι,verb,h(,ὁ,article,me\n,μέν,particle,kata\,κατά,preposition,a)nastrofh\n,ἀναστροφή,noun,mo/nws,μόνως,adverb,h(,ὁ,article,bezh,,,h(,ὁ,article,de\,δέ,particle,kat),κατά,preposition,e)pistrofh\n,ἐπιστροφή,noun,mo/nws,μόνως,adverb,h(,ὁ,article,bmnc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,de\,δέ,particle,dh\,δή,particle,me/sh,μέσος,adjective,tou/twn,οὗτος,pronoun,h(,ὁ,article,bqkl,,,h(\n,ὅς,pronoun,kai\,καί,conjunction,perispasmo\n,περισπασμός,noun,kalou=men,καλέω,verb,dixw=s,διχῶς,adverb,a)pokaqi/statai,ἀποκαθίστημι,verb,di),διά,preposition,o(/ti,ὅστις,pronoun,h(,ὁ,article,kata\,κατά,preposition,a)nastrofh\n,ἀναστροφή,noun,ki/nhsis,κίνησις,adjective,au)th=s,αὐτός,pronoun,i)/sh,ἴσος,adjective,e)sti\,εἰμί,verb,th=|,ὁ,article,kat),κατά,preposition,e)pistrofh/n,ἐπιστροφή,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
du/o,δύο,adjective,ga\r,γάρ,particle,a)nastrofai=s,ἀναστροφή,noun,a)pokatasth/setai,ἀποκαθίστημι,verb,th=|,ὁ,article,te,τε,particle,ei)s,εἰς,preposition,to\,ὁ,article,bezh,,,kai\,καί,conjunction,th=|,ὁ,article,ei)s,εἰς,preposition,to\,ὁ,article,badg,,,kai\,καί,conjunction,du/o,δύο,adjective,e)pistrofai=s,ἐπιστροφή,noun,e)pikatasth/setai,ἐπικαθίστημι,verb,th=|,ὁ,article,te,τε,particle,ei)s,εἰς,preposition,to\,ὁ,article,bmnc,,,kai\,καί,conjunction,th=|,ὁ,article,ei)s,εἰς,preposition,to\,ὁ,article,badg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ei),εἰ,conjunction,d),δέ,particle,e)p),ἐπί,preposition,a)spi/da,ἀσπίς,noun,poioi/meqa,ποιέω,verb,th\n,ὁ,article,e)pistrofh/n,ἐπιστροφή,noun,to/pon,τόπος,noun,e)fe/cei,ἐπέχω,verb,to\,ὁ,article,su/ntagma,σύνταγμα,noun,kai\,καί,conjunction,ou(/tw,οὕτως,adverb,to\n,ὁ,article,e)/mprosqen,ἔμπροσθεν,adverb,e)pifa/neian,ἐπιφάνεια,noun,de\,δέ,particle,e)nanti/an,ἐναντίος,adjective,th\n,ὁ,article,kat),κατά,preposition,a)ristera/n,ἀριστερός,adjective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metataxqe\n,μετατάσσω,verb,ga\r,γάρ,particle,to\,ὁ,article,abgd,,,peri\,περί,preposition,me/nonta,μένω,verb,to\n,ὁ,article,a,,,loxago\n,λοχαγός,adjective,qe/sin,θέσις,noun,e(/cei,ἔχω,verb,th\n,ὁ,article,aopr,,,kata\,κατά,preposition,prw/thn,πρότερος,adjective,e)pistrofh/n,ἐπιστροφή,noun,kata\,κατά,preposition,de\,δέ,particle,perispasmo\n,περισπασμός,noun,th\n,ὁ,article,astu,,,e)kperispasqei=sa,ἐκπερισπάω,verb,de\,δέ,particle,th\n,ὁ,article,afxy,,,kai\,καί,conjunction,e)pikatastaqei=sa,ἐπικαθίστημι,verb,th\n,ὁ,article,abgd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h(,ὁ,article,de\,δέ,particle,tw=n,ὁ,article,a)pokatasta/sewn,ἀποκατάστασις,noun,diafora\,διαφορά,noun,o(moi/a,ὅμοιος,adjective,tai=s,ὁ,article,e)pi\,ἐπί,preposition,do/ru,δόρυ,noun,soi,σύ,pronoun,noei/sqw,νοέω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*tau=ta,οὗτος,pronoun,de\,δέ,particle,gi/netai,γίγνομαι,verb,o(po/t),ὁπότε,adverb,a)\n,ἄν,particle,oi(,ὁ,article,pole/mioi,πολέμιος,adjective,parafai/nwntai,παραφαίνω,verb,kata\,κατά,preposition,pleura\n,πλευρά,noun,th=s,ὁ,article,fa/laggos,φάλαγξ,noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*ei)s,εἰς,preposition,o)rqo\n,ὀρθός,adjective,de/,δέ,particle,e)stin,εἰμί,verb,a)podou=nai,ἀποδίδωμι,verb,to\,ὁ,article,e)pi\,ἐπί,preposition,th\n,ὁ,article,e)c,ἐκ,preposition,a)rxh=s,ἀρχή,noun,qe/sin,θέσις,noun,a)pokatasth=sai,ἀποκαθίστημι,verb,a)/ndra,ἀνήρ,noun,e(/kaston,ἕκαστος,adjective,w(/ste,ὥστε,conjunction,ei),εἰ,conjunction,e)pi\,ἐπί,preposition,do/ru,δόρυ,noun,kli/nein,κλίνω,verb,e)k,ἐκ,preposition,tw=n,ὁ,article,polemi/wn,πολέμιος,adjective,keleu/ointo,κελεύω,verb,ei)=ta,εἶτα,adverb,au)=qis,αὖθις,adverb,e)p),ἐπί,preposition,o)rqo\n,ὀρθός,adjective,a)podou=nai,ἀποδίδωμι,verb,deh/sei,δέησις,noun,e)pi\,ἐπί,preposition,tou\s,ὁ,article,polemi/ous,πολέμιος,adjective,pa/lin,πάλιν,adverb,tre/pesqai,τρέπω,verb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
